ip,size,status0,status1,status2,status3,status4,status5,status6,status7,status8,metodo0,metodo1,metodo2,metodo3,metodo4,tamanho_recurso,detected
114125221132,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,107,3
114125221132,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,95,3
114125221132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95,3
114125221132,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,22,3
114125221132,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,3
114125221132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,3
1141252075,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
1141252075,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,9,1
1141252075,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,1
114124140168,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,39,1
114124140168,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,79,1
114124172136,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,46,2
114124140168,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27,1
114124172136,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,75,1
114124140168,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,46,2
64233173163,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28,3
64233173168,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,46,3
64233173166,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,66,3
64233173166,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,66,3
64233173168,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,69,3
64233173168,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,66,3
64233173163,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,66,3
114124140168,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,39,1
114124172136,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,46,2
12018879166,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,23,1
64233173163,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,35,3
64233173163,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,73,3
64233173168,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,46,3
64233173168,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,66,3
64233173163,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,66,3
64233173168,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,66,3
64233173163,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,46,3
64233173166,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,17,3
64233173163,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,16,3
64233173168,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,3
64233173163,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27,3
64233173163,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,46,3
